OBJECTID,FID_EV_Charging_Suggestions,Name,Location,Date,Comments,CreationDate,NUMVOTES,COUNDIST,ZIPCODE,Longitude,Latitude
196,218,,,11/6/17 14:39,,11/6/17 14:41,1,9,40206,-85.68101801,38.25887679
197,221,,,11/6/17 14:39,,11/6/17 14:42,0,4,40202,-85.74560097,38.25892021
198,65,Shawnee Park,,10/26/17 16:21,,10/26/17 16:23,2,5,40211,-85.82452617,38.25897032
199,142,Hubbards Lane at Westport Road,Two shopping centers; office buildings; other businesses in walking distance,10/26/17 14:53,,10/26/17 19:08,5,7,40207,-85.63952724,38.25964589
200,143,Brownsboro Road at Hillcrest Avenue,Busy crossroad; many small businesses in walking distance,10/26/17 14:53,,10/26/17 19:09,2,9,40206,-85.68690577,38.26007965
201,66,Shawnee High School,,10/26/17 14:53,,10/26/17 16:24,1,5,40212,-85.81692912,38.26037097
202,217,,,11/6/17 14:39,,11/6/17 14:41,0,9,40206,-85.67776906,38.26044992
203,137,Mellwood Arts Center,,10/26/17 14:53,,10/26/17 18:55,3,9,40206,-85.71407505,38.26228264
204,61,Big Four Bridge,For Waterfront Park visitors and bridge walkers going to Jeffersonville,10/26/17 14:53,,10/26/17 16:22,9,4,40206,-85.73613565,38.2625952
205,3,Community Boathouse,,10/11/17 22:19,Do it!,10/11/17 22:19,6,4,40206,-85.73057978,38.26391485
206,49,Ormsby Station,Multiple large office buildings and a few restaurants,10/26/17 14:53,,10/26/17 16:05,0,18,40223,-85.56819167,38.26448526
207,141,Brownsboro Road at Chenoweth Lane,"Spot along Brownsboro Road (US 42); two small shopping centers, bank, hardware store, church in walking distance",10/26/17 14:53,,10/26/17 19:06,3,7,40207,-85.66728001,38.26581209
208,159,Anchorage,"Restaurants, small businesses, post office, firehouse all in walking distance; two schools close by",10/26/17 14:53,,10/26/17 19:44,0,17,40223,-85.54040659,38.2659923
209,214,Mark Condon,Are these pre-determined or suggestions? How might we add suggestions?,11/2/17 15:34,Every large parking lot should have charging stations all around the periphery,11/2/17 15:36,1,7,40207,-85.66706148,38.26631564
210,158,Eastpoint South,Easy access from I-265; multiple employers nearby,10/26/17 14:53,,10/26/17 19:38,1,19,40223,-85.50681136,38.26833245
211,147,I-64 at 22nd Street,"A place to stop to/from New Albany, Corydon, etc.; entertainment venue and small businesses in walking distance",10/26/17 14:53,,10/26/17 19:18,2,5,40212,-85.78274067,38.26833572
212,161,Westport Village,Easy access; shopping center; many apartments,10/26/17 14:53,,10/26/17 19:46,5,7,40222,-85.6152117,38.27025701
213,146,I-264 at Bank Street,"A place to stop to/from New Albany, Corydon, etc.",10/26/17 14:53,,10/26/17 19:16,1,5,40212,-85.80940184,38.27226266
214,210,Portland Library,,11/2/17 13:28,,11/2/17 13:36,2,5,40212,-85.8009929,38.2751379
215,145,River Road at Zorn Avenue,"A place to stop along River Road; hotel, nursing school, Champions Park in walking distance",10/26/17 14:53,,10/26/17 19:14,5,9,40207,-85.69816741,38.2772876
216,144,Brownsboro Center,Shopping center; grocery across the road,10/26/17 14:53,,10/26/17 19:12,2,7,40207,-85.63779731,38.2784787
217,139,Future VA Hospital,,10/26/17 14:53,,10/26/17 18:59,1,7,40222,-85.63300706,38.27848973
218,226,,,11/6/17 14:39,,11/6/17 14:44,1,9,40207,-85.70032276,38.27908221
219,162,Plantation,Place to stop along Westport Rd.; small businesses; two schools,10/26/17 14:53,,10/26/17 19:48,0,7,40242,-85.59232778,38.28078645
220,242,E.P Sawyer Park,main parking lot,11/19/17 23:27,,11/19/17 23:30,0,17,40223,-85.5564568,38.2815694
221,123,Eastpoint North,Large employers; Baptist Eastpoint hospital,10/26/17 14:53,,10/26/17 18:14,0,19,40223,-85.51126068,38.28220353
222,125,Holiday Manor,Shopping center; offices; easy access from I-264 and US 42,10/26/17 14:53,,10/26/17 18:17,3,7,40222,-85.63188649,38.28422627
223,216,,,11/6/17 14:39,,11/6/17 14:40,0,17,40223,-85.55595419,38.28613607
224,177,Locust Grove,Historic home and event venue,10/26/17 14:53,,10/26/17 20:18,1,16,40207,-85.66374113,38.28696586
225,160,Westport Road at Hurstbourne Parkway,Easy access; shopping center; church; school,10/26/17 14:53,,10/26/17 19:45,3,17,40241,-85.57338648,38.28813141
226,122,La Grange Road at I-265,Shopping center; stopping point to/from Crestwood and Pewee Valley; access from freeway,10/26/17 14:53,,10/26/17 18:13,3,19,40245,-85.51220834,38.28911614
227,164,US 43 at Seminary Drive,Two large condo buildings; synagogue,10/26/17 14:53,,10/26/17 19:53,0,16,40241,-85.62886901,38.29235933
228,165,US 42 at Seminary Drive,Two large condo buildings; synagogue,10/26/17 14:53,,10/26/17 19:55,0,16,40241,-85.62888418,38.29239348
229,167,Louisville Boat Club,Commuting route; private club; birdwatching/hiking a short walk away,10/26/17 14:53,,10/26/17 19:59,2,7,40207,-85.67644178,38.29272952
230,239,,,11/16/17 20:11,,11/16/17 20:13,0,17,40241,-85.55621991,38.29704952
231,92,Ford Kentucky Truck Plant,Major employer,10/26/17 14:53,,10/26/17 16:53,5,17,40241,-85.53572548,38.29948432
232,240,,,11/16/17 20:11,,11/16/17 20:13,0,17,40241,-85.55701365,38.30000433
233,20,,The Paddock Shops (formerly The Summit of Louisville),10/24/17 17:49,Dedicated parking spaces for level 2 charging stations behind Martini Italian Bistro and Mitchellâ€™s Fish Market,10/24/17 18:00,4,16,40241,-85.57757239,38.30811114
234,166,River Road at Lime Kiln Lane,A place to stop; school nearby,10/26/17 14:53,,10/26/17 19:56,2,16,40222,-85.64767275,38.3151563
235,124,Norton Brownsboro,Two hospitals; doctors offices; shopping; restaurants nearby,10/26/17 14:53,,10/26/17 18:16,7,16,40241,-85.57439344,38.31551303
236,163,US 42 at Wolf Pen Branch Road,Easy access from US 42; partial access from I-265; two churches,10/26/17 14:53,,10/26/17 19:52,2,16,40059,-85.62224051,38.32113612
237,238,Meeting Street Norton Commons,Town Center,11/16/17 20:11,,11/16/17 20:12,0,16,40059,-85.56643902,38.32490102
238,118,Prospect Point,Shopping center; stop on the way to northern Oldham County,10/26/17 14:53,,10/26/17 17:27,2,16,40059,-85.61736992,38.34404873
